titre,type_bien,type_annonce,prix,surface_m2,nb_chambres,nb_salons,nb_sdb,quartier,ville,description,caracteristiques,seller,date_publication,url_annonce,source
شقتين للبيع,Immobilier résidentiel,Vente,1800000,150,0,0,0,عين الطلح,Teyarett,"فرصة برتماهين واحد الفوك و الثاني التحت  مساحة 150 م في عين الطلح
الدخل 120 الف كل واحد فيه بيتين و مرافق مبيوعين  [ 18 ] مليون
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/شقتين-للبيع-2892,voursa
قطعة أرض,Terrain,Vente,3100000,400,,,,قرب إدارة معادن,Dar Naim,نيمرو في المطار القديم في بلوك 18 رقم القطعة 68 المساحة 400 م2 فاتح أعل شارع 12 السعر 31 مليون,,الشيخ,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/قطعة-ارض-32d2,voursa
دار فملح سكتير 1,Immobilier résidentiel,Vente,550000,150,3,1,2,ملح سكتير 1,Arafat,دار اهوينه فملح سكتير 1,Garage,محمد عبد الله ولد سيكه,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/دار-فملح-سكتير-1-0e87,voursa
ديبلكس للبيع,Immobilier résidentiel,Vente,5800000,200,0,0,0,كارفور جامبور,Tevragh Zeina,"ديبلكس ابريميير شوا
احذ كارفور جامبور
المساحه 200 م²
السعر 58 مليون
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-22,https://voursa.com/FR/categories/real_estate/ads/ديبلكس-للبيع--0491,voursa
دار اعل كدروه فدار النعيم,Immobilier résidentiel,Vente,700000,180,4,1,1,استاسيوه المستقبل,Teyarett,سعر 7 ملايين حد شاري ول عندو طلب ول تراب ايدور ابيعه تلفنل اعل واتساب وتوف [TÉLÉPHONE SUPPRIMÉ],,الخدمات العامه,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/دار-اعل-كدروه-فدار-النعيم--191d,voursa
نيمرو فيه شانتي  ف اغنودرت بالقرب من دار غزواني للبيع,Terrain,Vente,1250000,300,,,,اغنودرت,Tevragh Zeina,السلام عليكم هذ نيمرو من اغنودرت مساحة 300م# فيه شانتي بالقرب من دار غزواني مبيوع ب 12,,محمد,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فيه-شانتي-ف-اغنودرت-بالقرب-من-دار-غزواني-للبيع--831b,voursa
ديبلكس للبيع,Immobilier résidentiel,Vente,4000000,300,0,0,0,اغنودرت,Tevragh Zeina,"فرصة مساحة 300 فيها ديبلكس مبني في 150 و 150 ما فيها شي في الكرن في حي كرمي غنودرت
 مبيوع اليوم ب 40 مليون 
واتساب [TÉLÉPHONE SUPPRIMÉ] للاتصال [TÉLÉPHONE SUPPRIMÉ]",,Agence LEWEDLI,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/ديبلكس-للبيع--fe21,voursa
نيمروات إعلى كدروه الرابط بين الجامعة وطب القلب,Terrain,Vente,15000000,1400,,,,طب القلب,Tevragh Zeina,المساحة الإجمالية 1400م٢ محوشين الثمن 150 مليون,,سيدي محمد,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/نيمروات-اعلى-كدروه-الرابط-بين-الجامعة-وطب-القلب--1e0a,voursa
دار فتنسويلم احذ امسيد اهل احمد يوره,Immobilier résidentiel,Vente,900000,150,5,1,2,امسيد اهل احمد يوره,Dar Naim,دار احذ امسيد اهل احمد يوره فوكه استيديو,Garage,محمد عبد الله ولد سيكه,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/دار-فتنسويلم-احذ-امسيد-اهل-احمد-يوره-3aa8,voursa
ابرتمهات فهاش 8,Immobilier résidentiel,Vente,6500000,216,4,1,1,هاش 8,Teyarett,"سعر  65 مليون  دخلهم 400ول 500  
حد ادورهم تلفنل اعل واتساب وتوف [TÉLÉPHONE SUPPRIMÉ]",,الخدمات العامه,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/ابرتمهات-فهاش-8-6df5,voursa
سمعة للبيع بالقرب من كوليج سوق مكه,Immobilier commercial et industriel,Vente,1600000,150,,,,سوق مكه,Arafat,السمعة مساحتها 150م فاتحة على T مؤجرة حالاً ب 140 ألف سعرها الأخير 16 مليون,,بورصة محمدأحمد العقارية,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/سمعة-للبيع-بالقرب-من-كوليج-سوق-مكه--5f2c,voursa
دار اعل كدروه ال بين جسر الحي الساكن و كرفور ول ابادو,Immobilier résidentiel,Vente,650000,150,3,1,2,جسر الحي الساكن,Dar Naim,دار بين كرفور جسر الحي الساكن و كرفور ول ابادو,Garage,محمد عبد الله ولد سيكه,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/دار-اعل-كدروه-ال-بين-جسر-الحي-الساكن-و-كرفور-ول-ابادو-105a,voursa
منازل للبيع فلمطار القديم قرب مدينة المرح,Terrain,Vente,7000000,400,,,,مدينة المرح,Dar Naim,بريمير شوى ماكط اندخلو كلهم مساحة 200م٢ قرب مدينة المرح الثمن 70 مليون ممكن بيع وحده بدون لأخرى,,سيدي محمد,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/منازل-للبيع-فلمطار-القديم-قرب-مدينة-المرح--0005,voursa
نيمرو فكرن من سكتير 6 للبيع,Terrain,Vente,7000000,700,,,,سكتير 6,Tevragh Zeina,السلام عليكم هذ نيمرو قكرن من سكتير 6 مساحة 700م# مبيوع ب 70مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فكرن-من-سكتير-6-للبيع--0aa4,voursa
نيمرو من المطار اعل لبست فكرن للبيع,Terrain,Vente,25000000,1172,,,,لبست,Tevragh Zeina,السلام عليكم هذ نيمرو من المطار اعلي لبست مساحة 1172م# فكرن  مبيوع ب 250مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/نيمرو-من-المطار-اعل-لبست-فكرن-للبيع--3e94,voursa
دار ف صانتر ميتير للبيع,Immobilier résidentiel,Vente,4600000,200,5,1,2,صانتر ميتير,Tevragh Zeina,السلام عليكم هذ دار ف صانتر ميتير اترابها 200م# مبيوع ب 46مليون للإستفسار اكثر اتصلوا على الرقم التالى [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/دار-ف-صانتر-ميتير-للبيع--a28f,voursa
نيمرو فيه ابرتماه من i4 للبيع,Terrain,Vente,3300000,216,,,,I4,Tevragh Zeina,السلام عليكم هذ نيمرو من i4 فيه ابرتماه مبيوع ب 33مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فيه-ابرتماه-من-i4-للبيع--8501,voursa
دار احذ كدروه اتيو للبيع,Immobilier résidentiel,Vente,16500000,240,1,1,1,كدروه اتيو,Toujounine,السلام عليكم هذ دار حذا كدروه التيو و ماهي بعيد من كرفور النايب فاتحه على شارع 10 مساحتها 240m² صاده على جيهة لبحر مكرويه و منقوشه مبيوعه ب 16مليون واخمس مائة  للإستفسار اكثر اتصلوا على الرقم التالى [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/دار-احذ-كدروه-اتيو-للبيع--9443,voursa
فيلا ممتازة جديدة في الفوز البوادي نظيفة,Immobilier résidentiel,Vente,4200000,200,4,2,2,البوادي,Teyarett,"البناء جديد ونظيفة تبارك الله وشارعها كبير 
ملاحظة للراغبين في شراء او بيع دار او نيمرو ماعليكم سوى التواصل معنا والله المستعان",Garage,محمدفال,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/فيلا-ممتازة-جديدة-في-الفوز-البوادي-نظيفة-c8e9,voursa
فرصة ارضية للبيع ف صحراوي قرب سكن سفير العمان,Immobilier résidentiel,Vente,5500000,250,4,1,2,سكن سفير العمان,Tevragh Zeina,فرصة ارضية ف صحراوي قرب سكن سفير العمان موقع جيد الشارع كبيير _وتساب,Garage,mohamed,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/فرصة-ارضية-للبيع-ف-صحراوي-قرب-سكن-سفير-العمان-وتساب--9e32,voursa
نيمرو اعلي كدروه واعلى ابرك فمدال j للبيع,Terrain,Vente,12000000,500,,,,كدروه نواذيبو,Tevragh Zeina,السلام عليكم هذ نيمرو اعلي كدروه نواذيبو واعلي ابرك فمدال j مساحة 500م# مبيوع ب مائة وعشرين مليون للإستفسار اكثر اتصلوا على الرقم التالى [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/نيمرو-اعلي-كدروه-واعلى-ابرك-فمدال-j-للبيع--f0a3,voursa
شانتيه اللبيع أفي المطار القديم بلوك 5,Immobilier résidentiel,Vente,3200000,200,3,1,2,شانتيه اللبيع أفي المطار القديم بلوك 5,Dar Naim,"شانتيه للبيـــع فلمطار.ابلوك 5      قرب مدينة المرح
 المساحة 200م٢ أفكرن فاتحه فبرك 
ب 32 مليون فقط حد مهتم يتواصل معاي [TÉLÉPHONE SUPPRIMÉ] حد عندو العقار اللبيع يتواصل معاي",,عبدالله,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/شانتيه-اللبيع-افي-المطار-القديم-بلوك-5-fc4f,voursa
ابرتمهات فصانتر متير,Immobilier résidentiel,Vente,4600000,200,8,1,2,صانتر متير,Tevragh Zeina,"ذاك أبرتماه للبيع. في منطقة صانتر ميتير. مساحة 200 م 
السعر. 46 مليون حد شاري تلفنل اعل واتساب فقط [TÉLÉPHONE SUPPRIMÉ]",,الخدمات العامه,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/ابرتمهات-فصانتر-متير-1c5b,voursa
نيمرو فكرن من مدال m اسويت للبيع,Terrain,Vente,3800000,600,,,,مدال m اسويت,Tevragh Zeina,السلام عليكم هذ نيمرو فكرن من مدال m اسويت مساحة 600م# مبيوع ب 38مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فكرن-من-مدال-m-اسويت-للبيع--4798,voursa
نيمرو فكرن من بوش 9 للبيع,Terrain,Vente,4600000,534,,,,بوش 9,Tevragh Zeina,السلام عليكم هذ نيمرو فكرن من بوش 9 مساحة 534م# مبيوع ب 46مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فكرن-من-بوش-9-للبيع--2c2d,voursa
عندن ذاك ابرتماه اللبيع أفي منطقة صانتر ميتير,Immobilier commercial et industriel,Vente,4600000,200,,,,ذاك ابرتماه اللبيع أفي منطقة صانتر ميتين,Tevragh Zeina,"ذاك أبرتماه للبيع. في منطقة صانتر ميتير. مساحة 200 م 
السعر. 46 مليون اوقية قديمة حد مهتم يتواصل معاي [TÉLÉPHONE SUPPRIMÉ]",,عبدالله,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/عندن-ذاك-ابرتماه-اللبيع-افي-منطقة-صانتر-ميتير-cfe7,voursa
نيمرو فالمطار فزر مصحة إيثار,Terrain,Vente,2200000,400,,,,إيثار,Dar Naim,المساحة 400م٢ تيتر فونصي فزر مصحة إيثار موقع استراتيجي بالرتفاع جيد,,سيدي محمد,2026-02-25,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فالمطار-فزر-مصحة-ايثار--3b95,voursa
نيمرو من الأساتذة فزر الشوانتي,Terrain,Vente,3750000,600,,,,المعهد,Tevragh Zeina,نيمرو من الأساتذة فزر الشوانتي إعلى شارع إكبير مبيوع ب 37.5 فرصة,,سيدي محمد,2026-02-25,https://voursa.com/FR/categories/real_estate/ads/نيمرو-من-الاساتذة-فزر-الشوانتي--e611,voursa
شانتيه فالمطار بلوك 5 قرب مدينة المرح,Terrain,Vente,3200000,200,,,,مدينة المرح,Dar Naim,المساحة 200م٢ أفكرن فاتحة فبرك ب 32 مليون,,سيدي محمد,2026-02-25,https://voursa.com/FR/categories/real_estate/ads/-شانتيه-فالمطار-بلوك-5-قرب-مدينة-المرح--9f12,voursa
ديبلكس بريمير شوى قرب شهرزاد,Terrain,Vente,5800000,216,,,,شهرا زاد,Teyarett,ديبلكس جديد قرب شهرزاد أفكرن مساحة 216م٢ فيه صالون 2 كراج و 2 هول والفوق فيها غرف نوم وبالكون فاتح فشارع إكبير,,سيدي محمد,2026-02-25,https://voursa.com/FR/categories/real_estate/ads/ديبلكس-بريمير-شوى-قرب-شهرزاد--1fab,voursa
نيمرو فكرن ابرك فمدال m لاول للبيع,Terrain,Vente,5000000,800,,,,مدال m لاول,Tevragh Zeina,السلام عليكم هذ نيمرو من مدال m لاول مساحة 800م# فكرن ابرك مبيوع ب 50مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-25,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فكرن-ابرك-فمدال-m-لاول-للبيع--eaf1,voursa
منزل فخم للبيـع قرب مشروع كمال,Terrain,Vente,27000000,750,,,,مشروع كمال,Tevragh Zeina,فيلا قرب مشروع كمال المساحة 750م٢ أفكرن تقع بحي راقي جدا الثمن 270 مليون,,سيدي محمد,2026-02-25,https://voursa.com/FR/categories/real_estate/ads/منزل-فخم-للبيـع-قرب-مشروع-كمال--42f4,voursa
نيمرو من سكتير 5 للبيع,Terrain,Vente,6700000,875,,,,سكتير 5,Tevragh Zeina,السلام عليكم هذ نيمرو من سكتير 5مساحة 875م# مبيوع ب 67مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-25,https://voursa.com/FR/categories/real_estate/ads/نيمرو-من-سكتير-5-للبيع--764a,voursa
200م² في تفرغ زينة h suit  ماه بعيد من كدروه نواذيب,Terrain,Vente,2000000,200,,,,طريق نواذيب,Tevragh Zeina,"فاتحه على جهة لرياح وموقعها زين تبارك الله 
ملاحظة للراغبين في شراء او بيع دار او نيمرو ماعليكم سوى التواصل معنا والله المستعان",,محمدفال,2026-02-25,https://voursa.com/FR/categories/real_estate/ads/200م-في-تفرغ-زينة-h-suit-ماه-بعيد-من-كدروه-نواذيب-1ccf,voursa
نيمرو أفكرن من بلوكات فاتح اعل الجامعة,Terrain,Vente,8000000,600,,,,جامعة انواكشوط العصرية,Tevragh Zeina,فاتح اعل كدروه الجامعة وفكرن كايل 80,,سيدي محمد,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/نيمرو-افكرن-من-بلوكات-فاتح-اعل-الجامعة--76f2,voursa
نيمرو فاتح ف ابرك من مدال m اسويت للبيع,Terrain,Vente,3700000,600,,,,مدال m اسويت,Tevragh Zeina,السلام عليكم هذ نيمرو من مدال m اسويت مساحة 600م# مبيوع ب 37مليون للإستفسار اكثر اتصلوا على الرقم التالي [TÉLÉPHONE SUPPRIMÉ],,محمد,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/نيمرو-فاتح-ف-ابرك-من-مدال-m-اسويت-للبيع--6169,voursa
قطعة أرضية للبيع,Bureau,Vente,2550000,300,,,,Tevrag zeina,Tevragh Zeina,قطعة أرضية للبيع 300م٢ في تفرغ زينة سكتير3 قرب مطعم الخال فرصة مبيوع ب 25ملينو و خمسمية فاتح عل جبهة الرياح كريب من كدرونه الشارة وكدرونه صكوك,,Saleck Med,2026-02-26,https://voursa.com/FR/categories/real_estate/ads/قطعة-ارضية-للبيع--8b02,voursa
نمرو اللبيع أفي المطار القديم بلوك 60,Terrain,Vente,1000000,216,,,,نمرو اللبيع أفي المطار القديم بلوك 60,Dar Naim,"من بلوك60 
المساحة 216
بينو واحد مع كدروه 
تيترو مكطوعه 
السعر الاخير 10 ملايين حد مهتم يتواصل معاي [TÉLÉPHONE SUPPRIMÉ]",,عبدالله,2026-02-25,https://voursa.com/FR/categories/real_estate/ads/نمرو-اللبيع-افي-المطار-القديم-بلوك-60-dfcb,voursa
